Iteration,KMC Time,Bucket,monCount_A,monCount_B,seqCount_A,seqCount_B,seqLengths2_A,seqLengths2_B
1,100.000008,0,27083,1750,915,705,2284,1032
1,100.000008,1,31091,2293,1504,1528,24585,4169
1,100.000008,2,31196,2317,1539,1542,71704,4744
1,100.000008,3,31637,2343,1542,1570,132436,4847
1,100.000008,4,30938,2265,1531,1460,205583,4298
1,100.000008,5,31249,2343,1552,1547,283291,4580
1,100.000008,6,32133,2422,1573,1552,371711,5287
1,100.000008,7,31305,2301,1541,1583,432590,4683
1,100.000008,8,31273,2311,1551,1580,493676,4506
1,100.000008,9,30235,2292,1520,1467,554096,4484
1,100.000008,10,32658,2655,1759,1666,691428,5047
1,100.000008,11,30445,2426,1556,1683,736986,5300
1,100.000008,12,32095,2491,1639,1624,805347,5134
1,100.000008,13,31122,2435,1605,1577,833105,4886
1,100.000008,14,29250,2336,1492,1461,776420,4599
1,100.000008,15,33044,2920,1869,1793,1063975,6117
1,100.000008,16,31309,2594,1634,1744,929537,5738
1,100.000008,17,30377,2542,1623,1546,994883,5183
1,100.000008,18,31870,2668,1707,1693,944221,5738
1,100.000008,19,29614,2643,1612,1606,956423,5485
1,100.000008,20,32092,2793,1801,1785,1137760,6343
1,100.000008,21,31116,2820,1766,1749,1174740,5744
1,100.000008,22,31252,2700,1699,1736,1045934,6092
1,100.000008,23,30193,2695,1653,1656,1010392,5819
1,100.000008,24,31191,2720,1727,1728,1073087,6254
1,100.000008,25,31366,2839,1751,1727,1074635,5834
1,100.000008,26,30871,2757,1686,1700,1056795,6435
1,100.000008,27,30907,2958,1823,1757,1143047,6253
1,100.000008,28,30810,2920,1759,1800,1094523,6794
1,100.000008,29,27407,1715,10744,1890,6853135,7191
2,200.000340,0,52802,3637,2147,1944,19499,4211
2,200.000340,1,57179,4250,2837,2810,158888,8843
2,200.000340,2,57294,4164,2768,2791,374157,8142
2,200.000340,3,57452,4321,2848,2800,654543,8815
2,200.000340,4,56975,4158,2799,2796,877346,8350
2,200.000340,5,56926,4490,2956,2951,1136864,8915
2,200.000340,6,57869,4552,2969,2998,1369643,9498
2,200.000340,7,56946,4472,2908,2922,1571350,9116
2,200.000340,8,56758,4684,3001,2923,1665431,9420
2,200.000340,9,55745,4709,3015,2976,1821559,9920
2,200.000340,10,58155,4979,3150,3155,1805257,10739
2,200.000340,11,55952,4856,3030,3043,1953818,10476
2,200.000340,12,57322,5093,3213,3183,2034141,11066
2,200.000340,13,56438,4974,3083,3088,1995956,10961
2,200.000340,14,54524,4936,3076,3020,1997477,10440
2,200.000340,15,58326,5416,3324,3340,2018829,12563
2,200.000340,16,56531,5230,3233,3247,2071874,11798
2,200.000340,17,55477,5292,3250,3205,2029209,11330
2,200.000340,18,57020,5434,3345,3352,2039963,12351
2,200.000340,19,54908,5200,3258,3282,1996859,11952
2,200.000340,20,57199,5632,3425,3373,2031950,12600
2,200.000340,21,56053,5689,3484,3437,1939648,12582
2,200.000340,22,56131,5636,3348,3390,1826696,13339
2,200.000340,23,54933,5842,3518,3456,2129832,13141
2,200.000340,24,55886,5818,3430,3446,1944310,14061
2,200.000340,25,56147,5995,3543,3529,1910256,13910
2,200.000340,26,55290,6183,3627,3594,1895627,14667
2,200.000340,27,55373,6385,3736,3705,1787041,15379
2,200.000340,28,55523,6255,3656,3677,1729258,15602
2,200.000340,29,51761,5031,12537,3889,5803062,16448
3,300.000535,0,74675,5237,3213,3022,55915,7634
3,300.000535,1,79084,5804,3870,3846,384988,11495
3,300.000535,2,79018,5879,3881,3889,866474,12125
3,300.000535,3,79377,5935,3945,3896,1318647,11589
3,300.000535,4,78332,6207,4087,4043,1818538,12428
3,300.000535,5,78749,6185,4063,4089,2187409,12779
3,300.000535,6,79356,6546,4171,4169,2381915,14073
3,300.000535,7,78134,6745,4264,4240,2610362,14233
3,300.000535,8,78046,6834,4280,4233,2728269,14455
3,300.000535,9,77168,6782,4240,4261,2613574,15039
3,300.000535,10,79439,7151,4429,4411,2962167,15261
3,300.000535,11,77048,7219,4416,4414,2795746,16630
3,300.000535,12,78564,7310,4531,4487,2796348,16007
3,300.000535,13,77483,7412,4560,4551,2804900,16541
3,300.000535,14,75645,7232,4506,4462,2714585,16235
3,300.000535,15,79192,8118,4912,4923,2806729,18472
3,300.000535,16,77429,7809,4695,4662,2656848,18400
3,300.000535,17,76340,7872,4744,4758,2733708,18513
3,300.000535,18,77503,8426,4934,4866,2739883,19369
3,300.000535,19,75228,8333,4916,4933,2367968,20200
3,300.000535,20,77348,8956,5226,5093,2523512,20353
3,300.000535,21,75962,9250,5274,5281,2540691,23835
3,300.000535,22,75917,9305,5268,5288,2252593,23027
3,300.000535,23,74652,9588,5363,5343,2218992,23815
3,300.000535,24,75364,9840,5544,5464,2279952,25644
3,300.000535,25,75747,9841,5535,5543,2186395,24743
3,300.000535,26,74711,10269,5707,5712,2090767,26564
3,300.000535,27,74568,10661,5689,5635,2043196,28819
3,300.000535,28,74323,10908,5858,5808,2083321,28944
3,300.000535,29,71121,9143,14391,6071,4667855,32629
4,400.000639,0,93177,6608,4122,3910,107879,10190
4,400.000639,1,97562,7151,4744,4740,672327,14471
4,400.000639,2,97579,7193,4806,4786,1399076,14586
4,400.000639,3,97395,7684,5070,4992,2152718,15184
4,400.000639,4,96718,7726,5015,5042,2679912,15906
4,400.000639,5,96772,7956,5090,5084,2972480,17016
4,400.000639,6,97274,8538,5365,5304,3370002,18029
4,400.000639,7,96275,8422,5252,5303,3346165,18508
4,400.000639,8,96090,8635,5359,5322,3499855,18673
4,400.000639,9,94961,8850,5451,5384,3414261,19862
4,400.000639,10,97269,9135,5641,5682,3580838,20450
4,400.000639,11,94996,9080,5611,5594,3384258,20453
4,400.000639,12,95998,9778,5934,5871,3405141,22268
4,400.000639,13,95027,9721,5871,5881,3290560,22673
4,400.000639,14,92994,9804,5813,5733,3419810,22513
4,400.000639,15,96398,10637,6259,6276,3117636,25245
4,400.000639,16,94461,10632,6249,6190,3007268,25483
4,400.000639,17,92850,11250,6394,6312,2993709,27556
4,400.000639,18,94055,11697,6639,6639,2870110,29404
4,400.000639,19,91611,11840,6670,6606,2686662,29426
4,400.000639,20,93768,12331,6849,6869,2813148,31602
4,400.000639,21,92524,12521,6946,6915,2657119,32761
4,400.000639,22,91721,13321,7170,7127,2458490,35391
4,400.000639,23,90558,13578,7251,7152,2437016,36734
4,400.000639,24,90991,14110,7372,7396,2357615,40726
4,400.000639,25,90555,14847,7893,7736,2483190,40458
4,400.000639,26,89491,15268,7786,7768,2047811,43727
4,400.000639,27,89174,15918,8043,7940,2094781,45796
4,400.000639,28,88480,16578,8157,8140,2000162,49663
4,400.000639,29,85540,14604,16521,8647,3808891,56481
5,500.000717,0,108986,7769,4902,4664,170555,12776
5,500.000717,1,113367,8392,5587,5576,1004945,16859
5,500.000717,2,113224,8483,5637,5627,1952426,17012
5,500.000717,3,113123,8997,5862,5857,2904422,18269
5,500.000717,4,112316,9095,5841,5821,3349027,19134
5,500.000717,5,111913,9801,6172,6084,3871316,20529
5,500.000717,6,113023,9769,6142,6235,3924693,21794
5,500.000717,7,111522,10213,6323,6225,4142366,22070
5,500.000717,8,111386,10309,6386,6362,4067949,23061
5,500.000717,9,110359,10442,6434,6429,3761979,23067
5,500.000717,10,112105,11292,6855,6796,4076584,26130
5,500.000717,11,109809,11269,6801,6835,3824338,25558
5,500.000717,12,111158,11637,6968,6923,4057081,27302
5,500.000717,13,109578,12126,7117,7052,3468734,28725
5,500.000717,14,107270,12478,7202,7140,3552480,30071
5,500.000717,15,110530,13524,7720,7666,3467039,33519
5,500.000717,16,108215,13834,7816,7774,3166254,34868
5,500.000717,17,106964,14127,7797,7796,3121032,36545
5,500.000717,18,108142,14640,8133,8137,3181584,37569
5,500.000717,19,105208,15188,8263,8162,2787843,39981
5,500.000717,20,106895,16224,8565,8536,2812744,44715
5,500.000717,21,105356,16677,8756,8732,2834778,47651
5,500.000717,22,104510,17570,9103,8985,2614237,49194
5,500.000717,23,102947,18141,9186,9043,2411291,51910
5,500.000717,24,102614,19451,9592,9582,2358103,57569
5,500.000717,25,102135,20284,9780,9662,2198312,63743
5,500.000717,26,100752,21030,10071,10061,2184964,66659
5,500.000717,27,99862,22183,10327,10190,2037872,72528
5,500.000717,28,98488,23616,10799,10653,1934802,78860
5,500.000717,29,95814,21276,18645,11247,3084657,88735
6,600.000792,0,122708,8768,5567,5372,235930,14782
6,600.000792,1,127111,9354,6215,6202,1312373,18992
6,600.000792,2,126721,9720,6458,6393,2547676,19103
6,600.000792,3,126741,10112,6545,6549,3547444,20995
6,600.000792,4,125468,10697,6800,6729,4027706,22357
6,600.000792,5,125460,10967,6852,6858,4353848,24129
6,600.000792,6,126243,11228,7019,6983,4661930,24013
6,600.000792,7,124875,11629,7147,7128,4494194,26445
6,600.000792,8,124575,11861,7323,7288,4372411,26109
6,600.000792,9,123192,12355,7516,7460,4491156,28444
6,600.000792,10,125209,12873,7738,7779,4389753,29838
6,600.000792,11,122518,13315,7896,7790,4243465,30657
6,600.000792,12,123652,13837,8084,8026,4029594,33630
6,600.000792,13,121857,14589,8339,8287,3881317,35967
6,600.000792,14,119375,15141,8591,8540,3598922,37665
6,600.000792,15,122656,16160,9012,9012,3571889,41506
6,600.000792,16,120465,16311,9023,8960,3441587,41908
6,600.000792,17,118586,17203,9304,9296,3277968,45894
6,600.000792,18,119208,18325,9630,9539,3143292,50816
6,600.000792,19,116293,18828,9907,9863,2922030,53557
6,600.000792,20,117872,19941,10222,10111,2889747,55463
6,600.000792,21,115494,21307,10668,10560,2703511,62836
6,600.000792,22,114234,22600,10938,10851,2508743,69905
6,600.000792,23,112232,23539,11204,11089,2392363,73715
6,600.000792,24,111970,24826,11583,11520,2280037,81972
6,600.000792,25,110724,26442,11974,11903,2186323,88627
6,600.000792,26,108394,28094,12354,12174,2022501,95229
