Iteration,KMC Step,KMC Time,Simulation Time,Simulation Time per 1e6 KMC Steps,NAV,Conv_A,Conv_B,Conv_R,Conv_Total,Count_A,Count_B,Count_R,Count_PA,Count_PB,nAvgCL,wAvgCL,dispCL,nAvgMW,wAvgMW,dispMW,nAvgComp_A,nAvgComp_B,nAvgSL_A,nAvgSL_B,wAvgSL_A,wAvgSL_B,dispSL_A,dispSL_B
0,0,0.000000,0.000000,0.000000,4995004.995005,0.000000,0.000000,0.000000,0.000000,4995004,4995004,9990,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1002393,100.000008,0.083000,0.082802,4995004.995005,0.185611,0.015068,1.000000,0.100340,4067875,4919740,0,9690,300,100.339640,101.444341,1.011010,10787.357357,10935.537838,1.013736,0.924916,0.075084,16.075616,1.553276,30.166599,2.107462,1.876544,1.356785
2,1838208,200.000340,0.309000,0.168098,4995004.995005,0.337316,0.030693,1.000000,0.184005,3310109,4841691,0,9664,326,184.004805,185.129528,1.006112,19935.145145,20091.760569,1.007856,0.916596,0.083404,16.121237,1.608370,31.212831,2.221827,1.936131,1.381416
3,2542320,300.000535,0.600000,0.236005,4995004.995005,0.461566,0.047407,1.000000,0.254486,2689481,4758207,0,9591,399,254.486486,255.647616,1.004563,27818.988989,27985.985585,1.006003,0.906858,0.093142,15.317868,1.674743,30.028869,2.364266,1.960382,1.411718
4,3137677,400.000639,0.950000,0.302772,4995004.995005,0.563015,0.065148,1.000000,0.314082,2182740,4669591,0,9474,516,314.081782,315.270020,1.003783,34665.565566,34844.530405,1.005163,0.896289,0.103711,14.396544,1.746331,28.634897,2.523670,1.989012,1.445127
5,3647408,500.000717,1.346000,0.369029,4995004.995005,0.646160,0.084051,1.000000,0.365106,1767433,4575167,0,9402,588,365.105906,366.344570,1.003393,40713.163163,40907.495786,1.004773,0.884894,0.115106,13.516810,1.826554,27.365597,2.706772,2.024560,1.481901
6,4089281,600.000792,1.788000,0.437241,4995004.995005,0.714055,0.104619,1.000000,0.409337,1428294,4472433,0,9282,708,409.337437,410.625330,1.003146,46164.684685,46376.120569,1.004580,0.872210,0.127790,12.691066,1.919587,26.248661,2.928986,2.068279,1.525842
7,4478513,700.000956,2.275000,0.507981,4995004.995005,0.769633,0.126965,1.000000,0.448299,1150682,4360813,0,9094,896,448.299600,449.627139,1.002961,51178.218218,51407.489149,1.004480,0.858393,0.141607,11.943228,2.024481,25.292014,3.195200,2.117687,1.578281
8,4824825,800.001189,2.797000,0.579710,4995004.995005,0.814846,0.151084,1.000000,0.482965,924846,4240337,0,8934,1056,482.965465,484.337520,1.002841,55850.770771,56100.406274,1.004470,0.843587,0.156413,11.286494,2.142966,24.504215,3.510222,2.171110,1.638020
9,5138166,900.001435,3.354000,0.652762,4995004.995005,0.851760,0.176901,1.000000,0.514331,740461,4111381,0,8772,1218,514.330931,515.777523,1.002813,60278.168168,60554.618320,1.004586,0.828028,0.171972,10.705838,2.270917,23.845969,3.869785,2.227380,1.704062
10,5430906,1000.002367,3.932000,0.724004,4995004.995005,0.881942,0.205325,1.000000,0.543634,589698,3969404,0,8616,1374,543.634234,545.172887,1.002830,64629.689690,64938.856713,1.004784,0.811155,0.188845,10.187822,2.417357,23.300089,4.316041,2.287053,1.785438
11,5706382,1100.003022,4.546000,0.796652,4995004.995005,0.906372,0.236045,1.000000,0.571209,467670,3815956,0,8317,1673,571.209409,572.853856,1.002879,68923.223223,69267.539166,1.004996,0.793381,0.206619,9.733209,2.578292,22.851999,4.818320,2.347838,1.868803
